command,description
alias,コマンドの別名を登録
cat,ファイルの内容を表示
cd,現在のディレクトリを移動
chgrp,ファイルのグループの変更
chmod,ファイルやディレクトリの権限を変更
chown,ファイルやディレクトリの所有者を変更
clear,画面をクリア
cp,ファイルやディレクトリを複製
crontab,設定したジョブを自動実行
cut,ファイルの文字列を切り出す
date,現在の時刻の表示や設定
diff,2つのファイルの内容の違いを表示
echo,文字列や変数の値を表示
exit,ログアウトする
find,ファイルを検索
ftp,FTP 通信でファイルを転送
grep,文字列を検索
gzip,ファイルの圧縮や復元(.gz)
history,コマンドの履歴を表示
jobs,バックグラウンドジョブを表示
kill,プロセスまたはジョブを終了
less,ファイルの内容をスクロール可能な状態で表示
ln,ファイルやディレクトリにリンクを設定
ls,ファイルやディレクトリの情報を表示
mail,メールの送受信
man,コマンドのマニュアルを表示
mkdir,ディレクトリを作成
more,ファイルの内容をページ単位で表示
mv,ファイルの移動、ファイル名の変更
passwd,パスワードを変更
ping,ホストとの接続を確認
popd,スタック先頭のディレクトリへ移動し、スタックから降ろす
ps,実行中のプロセスを表示
pushd,現在のディレクトリの場所をスタックに積み、移動する
pwd,現在のディレクトリの場所を表示
rm,ファイルやディレクトリを削除
rmdir,ディレクトリを削除
sed,文字を変換
sftp,SFTP 通信でファイルを転送
shutdown,システムを停止
sleep,一定時間スリープ
sort,ファイル行を並び替え
split,ファイルを分割
ssh,SSH 通信でホストに接続
su,他のユーザに切り替え
tar,アーカイブを作成
touch,空のファイルを作成、ファイルのタイムスタンプの更新
unalias,コマンドの別名を解除
unzip,圧縮ファイルの復元(.zip)
which,コマンドのパスを表示
who,ログインしているユーザを調査
whoami,現在のログイン名を表示
zcat,圧縮ファイルの内容表示
zip,ファイルの圧縮(.zip)